AVGO	{"DailyBar":{"ClosePrice":427.41,"HighPrice":432.615,"LowPrice":422.975,"TradeCount":3042,"OpenPrice":432.615,"Timestamp":"2026-05-15T04:00:00Z","Volume":102905,"VWAP":426.628468},"LatestQuote":{"AskPrice":429.13,"AskSize":120,"AskExchange":"V","BidPrice":424.87,"BidSize":80,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:11.457670593Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":3037,"Price":427.41,"Size":100,"Timestamp":"2026-05-15T14:34:48.804138882Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":427.41,"HighPrice":427.41,"LowPrice":427.12,"TradeCount":21,"OpenPrice":427.12,"Timestamp":"2026-05-15T14:34:00Z","Volume":408,"VWAP":427.280833},"PrevDailyBar":{"ClosePrice":439.34,"HighPrice":442.3,"LowPrice":416.22,"TradeCount":15956,"OpenPrice":416.63,"Timestamp":"2026-05-14T04:00:00Z","Volume":575796,"VWAP":435.358743},"symbol":"AVGO","CurrentPrice":427.41,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:13.061Z"}
EIS	{"DailyBar":{"ClosePrice":130.015,"HighPrice":130.05,"LowPrice":129.52,"TradeCount":7,"OpenPrice":129.765,"Timestamp":"2026-05-15T04:00:00Z","Volume":623,"VWAP":129.776667},"LatestQuote":{"AskPrice":131.08,"AskSize":600,"AskExchange":"V","BidPrice":128.74,"BidSize":200,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:33:09.744497823Z","Tape":"B"},"LatestTrade":{"Conditions":[" "],"ID":52983579557204,"Price":130.015,"Size":100,"Timestamp":"2026-05-15T14:15:50.918442901Z","Exchange":"V","Tape":"B"},"MinuteBar":{"ClosePrice":130.015,"HighPrice":130.05,"LowPrice":130.015,"TradeCount":3,"OpenPrice":130.05,"Timestamp":"2026-05-15T14:15:00Z","Volume":223,"VWAP":130.0325},"PrevDailyBar":{"ClosePrice":133.65,"HighPrice":133.74,"LowPrice":133.6,"TradeCount":107,"OpenPrice":133.74,"Timestamp":"2026-05-14T04:00:00Z","Volume":1081,"VWAP":133.662308},"symbol":"EIS","CurrentPrice":130.015,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:13.354Z"}
GLD	{"DailyBar":{"ClosePrice":418.405,"HighPrice":418.84,"LowPrice":414.18,"TradeCount":1057,"OpenPrice":417.69,"Timestamp":"2026-05-15T04:00:00Z","Volume":70157,"VWAP":416.935217},"LatestQuote":{"AskPrice":418.58,"AskSize":80,"AskExchange":"V","BidPrice":418.43,"BidSize":40,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:13.248339594Z","Tape":"B"},"LatestTrade":{"Conditions":[" "],"ID":52983609908314,"Price":418.39,"Size":80,"Timestamp":"2026-05-15T14:35:06.83307878Z","Exchange":"V","Tape":"B"},"MinuteBar":{"ClosePrice":418.405,"HighPrice":418.42,"LowPrice":418.29,"TradeCount":11,"OpenPrice":418.325,"Timestamp":"2026-05-15T14:34:00Z","Volume":605,"VWAP":418.366603},"PrevDailyBar":{"ClosePrice":427.19,"HighPrice":431.515,"LowPrice":427.14,"TradeCount":2214,"OpenPrice":430.32,"Timestamp":"2026-05-14T04:00:00Z","Volume":116595,"VWAP":429.027024},"symbol":"GLD","CurrentPrice":418.39,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:13.667Z"}
GOOG	{"DailyBar":{"ClosePrice":395.13,"HighPrice":395.76,"LowPrice":389.87,"TradeCount":2248,"OpenPrice":393.115,"Timestamp":"2026-05-15T04:00:00Z","Volume":92914,"VWAP":393.196162},"LatestQuote":{"AskPrice":395.64,"AskSize":160,"AskExchange":"V","BidPrice":375.17,"BidSize":160,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:13.931013258Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":2259,"Price":394.87,"Size":40,"Timestamp":"2026-05-15T14:35:13.825674651Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":395.13,"HighPrice":395.13,"LowPrice":394.61,"TradeCount":26,"OpenPrice":394.71,"Timestamp":"2026-05-15T14:34:00Z","Volume":909,"VWAP":394.791174},"PrevDailyBar":{"ClosePrice":397.23,"HighPrice":399.1,"LowPrice":392.83,"TradeCount":9040,"OpenPrice":393.785,"Timestamp":"2026-05-14T04:00:00Z","Volume":342556,"VWAP":396.112394},"symbol":"GOOG","CurrentPrice":394.87,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:13.970Z"}
HOOD	{"DailyBar":{"ClosePrice":77.65,"HighPrice":78.54,"LowPrice":76.64,"TradeCount":1919,"OpenPrice":78.54,"Timestamp":"2026-05-15T04:00:00Z","Volume":145425,"VWAP":77.303604},"LatestQuote":{"AskPrice":80.7,"AskSize":100,"AskExchange":"V","BidPrice":77.77,"BidSize":200,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:13.352316053Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":1923,"Price":77.79,"Size":100,"Timestamp":"2026-05-15T14:35:12.515724025Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":77.65,"HighPrice":77.65,"LowPrice":77.65,"TradeCount":7,"OpenPrice":77.65,"Timestamp":"2026-05-15T14:34:00Z","Volume":292,"VWAP":77.65},"PrevDailyBar":{"ClosePrice":80.695,"HighPrice":81.91,"LowPrice":75.13,"TradeCount":11198,"OpenPrice":76.035,"Timestamp":"2026-05-14T04:00:00Z","Volume":908753,"VWAP":79.937248},"symbol":"HOOD","CurrentPrice":77.79,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:14.282Z"}
META	{"DailyBar":{"ClosePrice":612.93,"HighPrice":614.09,"LowPrice":609.49,"TradeCount":1770,"OpenPrice":613.54,"Timestamp":"2026-05-15T04:00:00Z","Volume":64254,"VWAP":611.746887},"LatestQuote":{"AskPrice":613.26,"AskSize":40,"AskExchange":"V","BidPrice":605,"BidSize":40,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:12.211797168Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":1765,"Price":612.93,"Size":40,"Timestamp":"2026-05-15T14:34:35.204078551Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":612.93,"HighPrice":613.19,"LowPrice":612.93,"TradeCount":12,"OpenPrice":613.19,"Timestamp":"2026-05-15T14:34:00Z","Volume":276,"VWAP":613.017473},"PrevDailyBar":{"ClosePrice":618.51,"HighPrice":623.71,"LowPrice":615.34,"TradeCount":9414,"OpenPrice":615.73,"Timestamp":"2026-05-14T04:00:00Z","Volume":294465,"VWAP":619.094967},"symbol":"META","CurrentPrice":612.93,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:14.559Z"}
NVDA	{"DailyBar":{"ClosePrice":227.49,"HighPrice":230,"LowPrice":224.3,"TradeCount":12812,"OpenPrice":229.76,"Timestamp":"2026-05-15T04:00:00Z","Volume":1016171,"VWAP":226.893524},"LatestQuote":{"AskPrice":229.49,"AskSize":100,"AskExchange":"V","BidPrice":227.57,"BidSize":200,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:14.745851429Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":12859,"Price":227.55,"Size":200,"Timestamp":"2026-05-15T14:35:11.425084473Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":227.49,"HighPrice":227.49,"LowPrice":226.97,"TradeCount":129,"OpenPrice":227,"Timestamp":"2026-05-15T14:34:00Z","Volume":8115,"VWAP":227.203013},"PrevDailyBar":{"ClosePrice":235.78,"HighPrice":236.54,"LowPrice":229.41,"TradeCount":47042,"OpenPrice":229.73,"Timestamp":"2026-05-14T04:00:00Z","Volume":4515441,"VWAP":234.316669},"symbol":"NVDA","CurrentPrice":227.55,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:14.879Z"}
QQQ	{"DailyBar":{"ClosePrice":711.65,"HighPrice":712.64,"LowPrice":705.58,"TradeCount":3651,"OpenPrice":710.16,"Timestamp":"2026-05-15T04:00:00Z","Volume":195384,"VWAP":709.185578},"LatestQuote":{"AskPrice":711.65,"AskSize":120,"AskExchange":"V","BidPrice":711.38,"BidSize":40,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:15.177725457Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":3659,"Price":711.59,"Size":40,"Timestamp":"2026-05-15T14:35:13.0316906Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":711.65,"HighPrice":711.66,"LowPrice":710.89,"TradeCount":34,"OpenPrice":710.94,"Timestamp":"2026-05-15T14:34:00Z","Volume":1500,"VWAP":711.313199},"PrevDailyBar":{"ClosePrice":719.75,"HighPrice":722.01,"LowPrice":714.24,"TradeCount":12175,"OpenPrice":714.64,"Timestamp":"2026-05-14T04:00:00Z","Volume":709969,"VWAP":719.513848},"symbol":"QQQ","CurrentPrice":711.59,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:15.221Z"}
QTUM	{"DailyBar":{"ClosePrice":143.665,"HighPrice":144.06,"LowPrice":142.23,"TradeCount":68,"OpenPrice":143.33,"Timestamp":"2026-05-15T04:00:00Z","Volume":6539,"VWAP":142.868557},"LatestQuote":{"AskPrice":143.81,"AskSize":300,"AskExchange":"V","BidPrice":142.63,"BidSize":300,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:00.276096224Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":66,"Price":143.665,"Size":100,"Timestamp":"2026-05-15T14:31:04.909521409Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":143.665,"HighPrice":143.665,"LowPrice":143.665,"TradeCount":2,"OpenPrice":143.665,"Timestamp":"2026-05-15T14:31:00Z","Volume":110,"VWAP":143.665},"PrevDailyBar":{"ClosePrice":147.86,"HighPrice":148.28,"LowPrice":146.51,"TradeCount":310,"OpenPrice":146.595,"Timestamp":"2026-05-14T04:00:00Z","Volume":26872,"VWAP":147.781323},"symbol":"QTUM","CurrentPrice":143.665,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:15.495Z"}
RKLB	{"DailyBar":{"ClosePrice":126.15,"HighPrice":129.76,"LowPrice":123.72,"TradeCount":1789,"OpenPrice":128.685,"Timestamp":"2026-05-15T04:00:00Z","Volume":99545,"VWAP":126.847386},"LatestQuote":{"AskPrice":134.57,"AskSize":100,"AskExchange":"V","BidPrice":125,"BidSize":600,"BidExchange":"V","Conditions":["R"],"Timestamp":"2026-05-15T14:35:11.99969512Z","Tape":"C"},"LatestTrade":{"Conditions":["@"],"ID":1806,"Price":126.33,"Size":100,"Timestamp":"2026-05-15T14:35:11.703963982Z","Exchange":"V","Tape":"C"},"MinuteBar":{"ClosePrice":126.15,"HighPrice":126.16,"LowPrice":126.15,"TradeCount":18,"OpenPrice":126.16,"Timestamp":"2026-05-15T14:33:00Z","Volume":688,"VWAP":126.15232},"PrevDailyBar":{"ClosePrice":132.56,"HighPrice":133.11,"LowPrice":121.52,"TradeCount":10064,"OpenPrice":123.22,"Timestamp":"2026-05-14T04:00:00Z","Volume":434046,"VWAP":129.163455},"symbol":"RKLB","CurrentPrice":126.33,"PriceSource":"LatestTrade","FetchedAt":"2026-05-15T14:35:15.761Z"}
